province,province_th,district,district_th,subdistrict,subdistrict_th
Bangkok,กรุงเทพฯ,Khlong Sam Wa,คลองสามวา,Sai Kong Din,ทรายกองดิน
Bangkok,กรุงเทพฯ,Khlong Sam Wa,คลองสามวา,Sai Kong Din Tai,ทรายกองดินใต้
Bangkok,กรุงเทพฯ,Khlong Sam Wa,คลองสามวา,Sam Wa Tawan Ook,สามวาตะวันออก
Bangkok,กรุงเทพฯ,Khlong Sam Wa,คลองสามวา,Sam Wa Tawan Tok,สามวาตะวันตก
Bangkok,กรุงเทพฯ,Khlong San,คลองสาน,Bang Lamphu Lang,บางลำภูล่าง
Bangkok,กรุงเทพฯ,Khlong San,คลองสาน,Khlong San,คลองสาน
Bangkok,กรุงเทพฯ,Khlong San,คลองสาน,Khlong Ton Sai,คลองต้นไทร
Bangkok,กรุงเทพฯ,Khlong San,คลองสาน,Somdet Chao Phraya,สมเด็จเจ้าพระยา
Bangkok,กรุงเทพฯ,Khlong Toei,คลองเตย,Khlong Tan,คลองตัน
Bangkok,กรุงเทพฯ,Khlong Toei,คลองเตย,Khlong Toei,คลองเตย
Bangkok,กรุงเทพฯ,Khlong Toei,คลองเตย,Phra Khanong,พระโขนง
Bangkok,กรุงเทพฯ,Lak Si,หลักสี่,Talat Bang Khen,ตลาดบางเขน
Bangkok,กรุงเทพฯ,Lak Si,หลักสี่,Thung Song Hong,ทุ่งสองห้อง
Bangkok,กรุงเทพฯ,Lat Krabang,ลาดกระบัง,Khlong Sam Prawet,คลองสามประเวศ
Bangkok,กรุงเทพฯ,Lat Krabang,ลาดกระบัง,Khlong Song Ton Nun,คลองสองต้นนุ่น
Bangkok,กรุงเทพฯ,Lat Krabang,ลาดกระบัง,Khum Thong,ขุมทอง
Bangkok,กรุงเทพฯ,Lat Krabang,ลาดกระบัง,Lam Pla Thio,ลำปลาทิว
Bangkok,กรุงเทพฯ,Lat Krabang,ลาดกระบัง,Lat Krabang,ลาดกระบัง
Bangkok,กรุงเทพฯ,Lat Krabang,ลาดกระบัง,Thap Yao,ทับยาว
Bangkok,กรุงเทพฯ,Lat Phrao,ลาดพร้าว,Chorakhe Bua,จรเข้บัว
Bangkok,กรุงเทพฯ,Lat Phrao,ลาดพร้าว,Lat Phrao,ลาดพร้าว
Bangkok,กรุงเทพฯ,Min Buri,มีนบุรี,Min Buri,มีนบุรี
Bangkok,กรุงเทพฯ,Min Buri,มีนบุรี,Saen Saep,แสนแสบ
Bangkok,กรุงเทพฯ,Nong Chok,หนองจอก,Khlong Sip,คลองสิบ
Bangkok,กรุงเทพฯ,Nong Chok,หนองจอก,Khlong Sip Song,คลองสิบสอง
Bangkok,กรุงเทพฯ,Nong Chok,หนองจอก,Khok Faet,โคกแฝด
Bangkok,กรุงเทพฯ,Nong Chok,หนองจอก,Khu Fang Nuea,คู้ฝั่งเหนือ
Bangkok,กรุงเทพฯ,Nong Chok,หนองจอก,Krathum Rai,กระทุ่มราย
Bangkok,กรุงเทพฯ,Nong Chok,หนองจอก,Lam Phak Chi,ลำผักชี
Bangkok,กรุงเทพฯ,Nong Chok,หนองจอก,Lam Toiting,ลำต้อยติ่ง
Bangkok,กรุงเทพฯ,Nong Chok,หนองจอก,Nong Chok,หนองจอก
Bangkok,กรุงเทพฯ,Nong Khaem,หนองแขม,Nong Khaem,หนองแขม
Bangkok,กรุงเทพฯ,Nong Khaem,หนองแขม,Nong Khang Phlu,หนองค้างพลู
Bangkok,กรุงเทพฯ,Pathum Wan,ปทุมวัน,Lumphini,ลุมพินี
Bangkok,กรุงเทพฯ,Pathum Wan,ปทุมวัน,Pathum Wan,ปทุมวัน
Bangkok,กรุงเทพฯ,Pathum Wan,ปทุมวัน,Rong Mueang,รองเมือง
Bangkok,กรุงเทพฯ,Pathum Wan,ปทุมวัน,Wang Mai,วังใหม่
Bangkok,กรุงเทพฯ,Phasi Charoen,ภาษีเจริญ,Bang Chak,บางจาก
Bangkok,กรุงเทพฯ,Phasi Charoen,ภาษีเจริญ,Bang Duan,บางด้วน
Bangkok,กรุงเทพฯ,Phasi Charoen,ภาษีเจริญ,Bang Wa,บางหว้า
Bangkok,กรุงเทพฯ,Phasi Charoen,ภาษีเจริญ,Bang Waek,บางแวก
Bangkok,กรุงเทพฯ,Phasi Charoen,ภาษีเจริญ,Khlong Khwang,คลองขวาง
Bangkok,กรุงเทพฯ,Phasi Charoen,ภาษีเจริญ,Khuha Sawan,คูหาสวรรค์
Bangkok,กรุงเทพฯ,Phasi Charoen,ภาษีเจริญ,Pak Khlong Phasi Charoen,ปากคลองภาษีเจริญ
Bangkok,กรุงเทพฯ,Phaya Thai,พญาไท,Sam Sen Nai,สามเสนใน
Bangkok,กรุงเทพฯ,Phra Khanong,พระโขนง,Bang Chak,บางจาก
Bangkok,กรุงเทพฯ,Phra Nakhon,พระนคร,Ban Phan Thom,บ้านพานถม
Bangkok,กรุงเทพฯ,Phra Nakhon,พระนคร,Bang Khun Phrom,บางขุนพรหม
Bangkok,กรุงเทพฯ,Phra Nakhon,พระนคร,Bowon Niwet,บวรนิเวศ
Bangkok,กรุงเทพฯ,Phra Nakhon,พระนคร,Chana Songkhram,ชนะสงคราม
Bangkok,กรุงเทพฯ,Phra Nakhon,พระนคร,Phra Borom Maha Ratchawang,พระบรมมหาราชวัง
Bangkok,กรุงเทพฯ,Phra Nakhon,พระนคร,Samran Rat,สำราญราษฎร์
Bangkok,กรุงเทพฯ,Phra Nakhon,พระนคร,San Chao Pho Suea,ศาลเจ้าพ่อเสือ
Bangkok,กรุงเทพฯ,Phra Nakhon,พระนคร,Sao Chingcha,เสาชิงช้า
Bangkok,กรุงเทพฯ,Phra Nakhon,พระนคร,Talat Yot,ตลาดยอด
Bangkok,กรุงเทพฯ,Phra Nakhon,พระนคร,Wang Burapha Phirom,วังบูรพาภิรมย์
Bangkok,กรุงเทพฯ,Phra Nakhon,พระนคร,Wat Ratchabophit,วัดราชบพิธ
Bangkok,กรุงเทพฯ,Phra Nakhon,พระนคร,Wat Sam Phraya,วัดสามพระยา
Bangkok,กรุงเทพฯ,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่าย,Ban Bat,บ้านบาตร
Bangkok,กรุงเทพฯ,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่าย,Khlong Maha Nak,คลองมหานาค
Bangkok,กรุงเทพฯ,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่าย,Pom Prap,ป้อมปราบ
Bangkok,กรุงเทพฯ,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่าย,Wat Sommanat,วัดโสมนัส
Bangkok,กรุงเทพฯ,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่าย,Wat Thep Sirin,วัดเทพศิรินทร์
Bangkok,กรุงเทพฯ,Prawet,ประเวศ,Dok Mai,ดอกไม้
Bangkok,กรุงเทพฯ,Prawet,ประเวศ,Nong Bon,หนองบอน
Bangkok,กรุงเทพฯ,Prawet,ประเวศ,Prawet,ประเวศ
Bangkok,กรุงเทพฯ,Rat Burana,ราษฎร์บูรณะ,Bang Pa Kok,บางปะกอก
Bangkok,กรุงเทพฯ,Rat Burana,ราษฎร์บูรณะ,Rat Burana,ราษฎร์บูรณะ
Bangkok,กรุงเทพฯ,Ratchathewi,ราชเทวี,Makkasan,มักกะสัน
Bangkok,กรุงเทพฯ,Ratchathewi,ราชเทวี,Thanon Phaya Thai,ถนนพญาไท
Bangkok,กรุงเทพฯ,Ratchathewi,ราชเทวี,Thanon Phetchaburi,ถนนเพชรบุรี
Bangkok,กรุงเทพฯ,Ratchathewi,ราชเทวี,Thung Phaya Thai,ทุ่งพญาไท
Bangkok,กรุงเทพฯ,Sai Mai,สายไหม,Khlong Thanon,คลองถนน
Bangkok,กรุงเทพฯ,Sai Mai,สายไหม,O Ngoen,ออเงิน
Bangkok,กรุงเทพฯ,Sai Mai,สายไหม,Sai Mai,สายไหม
Bangkok,กรุงเทพฯ,Samphanthawong,สัมพันธวงศ์,Chakkrawat,จักรวรรดิ
Bangkok,กรุงเทพฯ,Samphanthawong,สัมพันธวงศ์,Samphanthawong,สัมพันธวงศ์
Bangkok,กรุงเทพฯ,Samphanthawong,สัมพันธวงศ์,Talat Noi,ตลาดน้อย
Bangkok,กรุงเทพฯ,Saphan Sung,สะพานสูง,Saphan Sung,สะพานสูง
Bangkok,กรุงเทพฯ,Sathon,สาทร,Thung Maha Mek,ทุ่งมหาเมฆ
Bangkok,กรุงเทพฯ,Sathon,สาทร,Thung Wat Don,ทุ่งวัดดอน
Bangkok,กรุงเทพฯ,Sathon,สาทร,Yan Nawa,ยานนาวา
Bangkok,กรุงเทพฯ,Suan Luang,สวนหลวง,Suan Luang,สวนหลวง
Bangkok,กรุงเทพฯ,Taling Chan,ตลิ่งชัน,Bang Chueak Nang,บางเชือกหนัง
Bangkok,กรุงเทพฯ,Taling Chan,ตลิ่งชัน,Bang Phrom,บางพรม
Bangkok,กรุงเทพฯ,Taling Chan,ตลิ่งชัน,Bang Ramat,บางระมาด
Bangkok,กรุงเทพฯ,Taling Chan,ตลิ่งชัน,Chimphli,ฉิมพลี
Bangkok,กรุงเทพฯ,Taling Chan,ตลิ่งชัน,Khlong Chak Phra,คลองชักพระ
Bangkok,กรุงเทพฯ,Taling Chan,ตลิ่งชัน,Taling Chan,ตลิ่งชัน
Bangkok,กรุงเทพฯ,Thawi Watthana,ทวีวัฒนา,Sala Thammasop,ศาลาธรรมสพน์
Bangkok,กรุงเทพฯ,Thawi Watthana,ทวีวัฒนา,Thawi Watthana,ทวีวัฒนา
Bangkok,กรุงเทพฯ,Thon Buri,ธนบุรี,Bang Yi Ruea,บางยี่เรือ
Bangkok,กรุงเทพฯ,Thon Buri,ธนบุรี,Bukkhalo,บุคคโล
Bangkok,กรุงเทพฯ,Thon Buri,ธนบุรี,Dao Khanong,ดาวคะนอง
Bangkok,กรุงเทพฯ,Thon Buri,ธนบุรี,Hiran Ruchi,หิรัญรูจี
Bangkok,กรุงเทพฯ,Thon Buri,ธนบุรี,Samre,สำเหร่
Bangkok,กรุงเทพฯ,Thon Buri,ธนบุรี,Talat Phlu,ตลาดพลู
Bangkok,กรุงเทพฯ,Thon Buri,ธนบุรี,Wat Kanlaya,วัดกัลยาณ์
Bangkok,กรุงเทพฯ,Thung Khru,ทุ่งครุ,Bang Mot,บางมด
Bangkok,กรุงเทพฯ,Thung Khru,ทุ่งครุ,Thung Khru,ทุ่งครุ
Bangkok,กรุงเทพฯ,Wang Thonglang,วังทองหลาง,Khlong Chao Khun Sing,คลองเจ้าคุณสิงห์
Bangkok,กรุงเทพฯ,Wang Thonglang,วังทองหลาง,Phlapphla,พลับพลา
Bangkok,กรุงเทพฯ,Wang Thonglang,วังทองหลาง,Saphan Song,สะพานสอง
Bangkok,กรุงเทพฯ,Wang Thonglang,วังทองหลาง,Wang Thonglang,วังทองหลาง
Bangkok,กรุงเทพฯ,Watthana,วัฒนา,Khlong Tan Nuea,คลองตันเหนือ
Bangkok,กรุงเทพฯ,Watthana,วัฒนา,Khlong Toei Nuea,คลองเตยเหนือ
Bangkok,กรุงเทพฯ,Watthana,วัฒนา,Phra Khanong Nuea,พระโขนงเหนือ
Bangkok,กรุงเทพฯ,Yan Nawa,ยานนาวา,Bang Phongphang,บางโพงพาง
Bangkok,กรุงเทพฯ,Yan Nawa,ยานนาวา,Chong Nonsi,ช่องนนทรี
Nonthaburi,นนทบุรี,Bang Bua Thong,บางบัวทอง,Bang Bua Thong,บางบัวทอง
Nonthaburi,นนทบุรี,Bang Bua Thong,บางบัวทอง,Bang Khu Rat,บางคูรัด
Nonthaburi,นนทบุรี,Bang Bua Thong,บางบัวทอง,Bang Rak Phatthana,บางรักพัฒนา
Nonthaburi,นนทบุรี,Bang Bua Thong,บางบัวทอง,Bang Rak Yai,บางรักใหญ่
Nonthaburi,นนทบุรี,Bang Bua Thong,บางบัวทอง,Lahan,ละหาร
Nonthaburi,นนทบุรี,Bang Bua Thong,บางบัวทอง,Lam Pho,ลำโพ
Nonthaburi,นนทบุรี,Bang Bua Thong,บางบัวทอง,Phimon Rat,พิมลราช
Nonthaburi,นนทบุรี,Bang Bua Thong,บางบัวทอง,Sano Loi,โสนลอย
Nonthaburi,นนทบุรี,Bang Kruai,บางกรวย,Bang Khanun,บางขนุน
Nonthaburi,นนทบุรี,Bang Kruai,บางกรวย,Bang Khu Wiang,บางคูเวียง
Nonthaburi,นนทบุรี,Bang Kruai,บางกรวย,Bang Khun Kong,บางขุนกอง
Nonthaburi,นนทบุรี,Bang Kruai,บางกรวย,Bang Kruai,บางกรวย
Nonthaburi,นนทบุรี,Bang Kruai,บางกรวย,Bang Si Thong,บางสีทอง
Nonthaburi,นนทบุรี,Bang Kruai,บางกรวย,Maha Sawat,มหาสวัสดิ์
Nonthaburi,นนทบุรี,Bang Kruai,บางกรวย,Plai Bang,ปลายบาง
Nonthaburi,นนทบุรี,Bang Kruai,บางกรวย,Sala Klang,ศาลากลาง
Nonthaburi,นนทบุรี,Bang Kruai,บางกรวย,Wat Chalo,วัดชลอ
Nonthaburi,นนทบุรี,Bang Yai,บางใหญ่,Ban Mai,บ้านใหม่
Nonthaburi,นนทบุรี,Bang Yai,บางใหญ่,Bang Len,บางเลน
Nonthaburi,นนทบุรี,Bang Yai,บางใหญ่,Bang Mae Nang,บางแม่นาง
Nonthaburi,นนทบุรี,Bang Yai,บางใหญ่,Bang Muang,บางม่วง
Nonthaburi,นนทบุรี,Bang Yai,บางใหญ่,Bang Yai,บางใหญ่
Nonthaburi,นนทบุรี,Bang Yai,บางใหญ่,Sao Thong Hin,เสาธงหิน
Nonthaburi,นนทบุรี,Mueang Nonthaburi,เมืองนนทบุรี,Bang Khen,บางเขน
Nonthaburi,นนทบุรี,Mueang Nonthaburi,เมืองนนทบุรี,Bang Krang,บางกร่าง
Nonthaburi,นนทบุรี,Mueang Nonthaburi,เมืองนนทบุรี,Bang Kraso,บางกระสอ
Nonthaburi,นนทบุรี,Mueang Nonthaburi,เมืองนนทบุรี,Bang Phai,บางไผ่
Nonthaburi,นนทบุรี,Mueang Nonthaburi,เมืองนนทบุรี,Bang Rak Noi,บางรักน้อย
Nonthaburi,นนทบุรี,Mueang Nonthaburi,เมืองนนทบุรี,Bang Si Mueang,บางศรีเมือง
Nonthaburi,นนทบุรี,Mueang Nonthaburi,เมืองนนทบุรี,Sai Ma,ไทรม้า
Nonthaburi,นนทบุรี,Mueang Nonthaburi,เมืองนนทบุรี,Suan Yai,สวนใหญ่
Nonthaburi,นนทบุรี,Mueang Nonthaburi,เมืองนนทบุรี,Talat Khwan,ตลาดขวัญ
Nonthaburi,นนทบุรี,Mueang Nonthaburi,เมืองนนทบุรี,Tha Sai,ท่าทราย
Nonthaburi,นนทบุรี,Pak Kret,ปากเกร็ด,Ban Mai,บ้านใหม่
Nonthaburi,นนทบุรี,Pak Kret,ปากเกร็ด,Bang Phlap,บางพลับ
Nonthaburi,นนทบุรี,Pak Kret,ปากเกร็ด,Bang Phut,บางพูด
Nonthaburi,นนทบุรี,Pak Kret,ปากเกร็ด,Bang Talat,บางตลาด
Nonthaburi,นนทบุรี,Pak Kret,ปากเกร็ด,Bang Tanai,บางตะไนย์
Nonthaburi,นนทบุรี,Pak Kret,ปากเกร็ด,Khlong Khoi,คลองข่อย
Nonthaburi,นนทบุรี,Pak Kret,ปากเกร็ด,Khlong Kluea,คลองเกลือ
Nonthaburi,นนทบุรี,Pak Kret,ปากเกร็ด,Khlong Phra Udom,คลองพระอุดม
Nonthaburi,นนทบุรี,Pak Kret,ปากเกร็ด,Ko Kret,เกาะเกร็ด
Nonthaburi,นนทบุรี,Pak Kret,ปากเกร็ด,Om Kret,อ้อมเกร็ด
Nonthaburi,นนทบุรี,Pak Kret,ปากเกร็ด,Pak Kret,ปากเกร็ด
Nonthaburi,นนทบุรี,Pak Kret,ปากเกร็ด,Tha It,ท่าอิฐ
Nonthaburi,นนทบุรี,Sai Noi,ไทรน้อย,Khlong Khwang,คลองขวาง
Nonthaburi,นนทบุรี,Sai Noi,ไทรน้อย,Khun Si,ขุนศรี
Nonthaburi,นนทบุรี,Sai Noi,ไทรน้อย,Nong Phrao Ngai,หนองเพรางาย
Nonthaburi,นนทบุรี,Sai Noi,ไทรน้อย,Rat Niyom,ราษฎร์นิยม
Nonthaburi,นนทบุรี,Sai Noi,ไทรน้อย,Sai Noi,ไทรน้อย
Nonthaburi,นนทบุรี,Sai Noi,ไทรน้อย,Sai Yai,ไทรใหญ่
Nonthaburi,นนทบุรี,Sai Noi,ไทรน้อย,Thawi Watthana,ทวีวัฒนา
Pathum Thani,ปทุมธานี,Khlong Luang,คลองหลวง,Khlong Chet,คลองเจ็ด
Pathum Thani,ปทุมธานี,Khlong Luang,คลองหลวง,Khlong Ha,คลองห้า
Pathum Thani,ปทุมธานี,Khlong Luang,คลองหลวง,Khlong Hok,คลองหก
Pathum Thani,ปทุมธานี,Khlong Luang,คลองหลวง,Khlong Nueng,คลองหนึ่ง
Pathum Thani,ปทุมธานี,Khlong Luang,คลองหลวง,Khlong Sam,คลองสาม
Pathum Thani,ปทุมธานี,Khlong Luang,คลองหลวง,Khlong Si,คลองสี่
Pathum Thani,ปทุมธานี,Khlong Luang,คลองหลวง,Khlong Song,คลองสอง
Pathum Thani,ปทุมธานี,Lam Luk Ka,ลำลูกกา,Bueng Kham Phroi,บึงคำพร้อย
Pathum Thani,ปทุมธานี,Lam Luk Ka,ลำลูกกา,Bueng Kho Hai,บึงคอไห
Pathum Thani,ปทุมธานี,Lam Luk Ka,ลำลูกกา,Bueng Thong Lang,บึงทองหลาง
Pathum Thani,ปทุมธานี,Lam Luk Ka,ลำลูกกา,Khu Khot,คูคต
Pathum Thani,ปทุมธานี,Lam Luk Ka,ลำลูกกา,Lam Luk Ka,ลำลูกกา
Pathum Thani,ปทุมธานี,Lam Luk Ka,ลำลูกกา,Lam Sai,ลำไทร
Pathum Thani,ปทุมธานี,Lam Luk Ka,ลำลูกกา,Lat Sawai,ลาดสวาย
Pathum Thani,ปทุมธานี,Lam Luk Ka,ลำลูกกา,Phuet Udom,พืชอุดม
Pathum Thani,ปทุมธานี,Lat Lum Kaeo,ลาดหลุมแก้ว,Bo Ngoen,บ่อเงิน
Pathum Thani,ปทุมธานี,Lat Lum Kaeo,ลาดหลุมแก้ว,Khlong Phra Udom,คลองพระอุดม
Pathum Thani,ปทุมธานี,Lat Lum Kaeo,ลาดหลุมแก้ว,Khu Bang Luang,คูบางหลวง
Pathum Thani,ปทุมธานี,Lat Lum Kaeo,ลาดหลุมแก้ว,Khu Khwang,คูขวาง
Pathum Thani,ปทุมธานี,Lat Lum Kaeo,ลาดหลุมแก้ว,Lat Lum Kaeo,ลาดหลุมแก้ว
Pathum Thani,ปทุมธานี,Lat Lum Kaeo,ลาดหลุมแก้ว,Na Mai,หน้าไม้
Pathum Thani,ปทุมธานี,Lat Lum Kaeo,ลาดหลุมแก้ว,Rahaeng,ระแหง
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Ban Chang,บ้านฉาง
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Ban Klang,บ้านกลาง
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Ban Krachaeng,บ้านกระแชง
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Ban Mai,บ้านใหม่
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Bang Duea,บางเดื่อ
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Bang Kadi,บางกะดี
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Bang Khayaeng,บางขะแยง
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Bang Khu Wat,บางคูวัด
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Bang Luang,บางหลวง
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Bang Phun,บางพูน
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Bang Phut,บางพูด
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Bang Prok,บางปรอก
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Lak Hok,หลักหก
Pathum Thani,ปทุมธานี,Mueang Pathum Thani,เมืองปทุมธานี,Suan Phrik Thai,สวนพริกไทย
Pathum Thani,ปทุมธานี,Nong Suea,หนองเสือ,Bueng Ba,บึงบา
Pathum Thani,ปทุมธานี,Nong Suea,หนองเสือ,Bueng Bon,บึงบอน
Pathum Thani,ปทุมธานี,Nong Suea,หนองเสือ,Bueng Cham O,บึงชำอ้อ
Pathum Thani,ปทุมธานี,Nong Suea,หนองเสือ,Bueng Ka Sam,บึงกาสาม
Pathum Thani,ปทุมธานี,Nong Suea,หนองเสือ,Nong Sam Wang,หนองสามวัง
Pathum Thani,ปทุมธานี,Nong Suea,หนองเสือ,Noppharat,นพรัตน์
Pathum Thani,ปทุมธานี,Nong Suea,หนองเสือ,Sala Khru,ศาลาครุ
Pathum Thani,ปทุมธานี,Sam Khok,สามโคก,Ban Ngio,บ้านงิ้ว
Pathum Thani,ปทุมธานี,Sam Khok,สามโคก,Ban Pathum,บ้านปทุม
Pathum Thani,ปทุมธานี,Sam Khok,สามโคก,Bang Krabue,บางกระบือ
Pathum Thani,ปทุมธานี,Sam Khok,สามโคก,Bang Pho Nuea,บางโพธิ์เหนือ
Pathum Thani,ปทุมธานี,Sam Khok,สามโคก,Bang Toei,บางเตย
Pathum Thani,ปทุมธานี,Sam Khok,สามโคก,Chiang Rak Noi,เชียงรากน้อย
